dataset	topology	difficulty	domain_fold_change	layout_seed	method	method_display	method_seed	status	wall_time_seconds	peak_rss_mb	error_type	error_message	truth_boundary_fraction	domain_cell_type_nmi	adjusted_rand_index	normalized_mutual_information	boundary_precision	boundary_recall	boundary_f1	produced_cluster_count
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	spclue	spCLUE	100100	success	19.84025950008072	1200.03125			0.29233333333333333	0.009254599872580253	0.8541036606499459	0.79792484318974	1.0	0.8323831242873432	0.9085252022401991	4.0
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	stlearn	stLearn	100100	success	7.594637209083885	2619.15625			0.29233333333333333	0.009254599872580253	0.0033368219785865107	0.003524713983486293	0.531637094074322	1.0	0.6942076502732241	4.0
irregular_mrf_seed0_moderate	irregular_mrf	moderate	3.0	0	expression_pca_kmeans	Expression-only control	100100	success	0.5518991660792381	364.234375			0.29233333333333333	0.009254599872580253	0.0035969926595278896	0.003521827232515883	0.530467163168585	1.0	0.6932094669320946	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	graphst	GraphST	100100	success	88.84842679114081	1186.703125			0.29233333333333333	0.009254599872580253	0.8943296685016808	0.8443254463868135	1.0	0.8540478905359179	0.9212792127921279	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	stagate	STAGATE	100100	success	226.4818407499697	1241.046875			0.29233333333333333	0.009254599872580253	0.8849269971524107	0.8341359955784505	1.0	0.855188141391106	0.9219422249539029	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	banksy	BANKSY	100100	success	17.416				0.29233333333333333	0.009254599872580253	0.17874733921823396	0.23582147127655523	0.6826568265682657	0.27936145952109465	0.3964748075577327	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	spagcn	SpaGCN	100100	success	4.877895666984841	858.765625			0.29233333333333333	0.009254599872580253	0.9735314821493253	0.954796646466436	1.0	0.9874572405929305	0.993689041881813	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	spclue	spCLUE	100100	success	17.684641333995387	1195.265625			0.29233333333333333	0.009254599872580253	0.8539608268008079	0.7979003504163228	1.0	0.8403648802736602	0.9132589838909541	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	stlearn	stLearn	100100	success	7.478285833960399	2597.125			0.29233333333333333	0.009254599872580253	1.0	1.0	1.0	1.0	1.0	4.0
irregular_mrf_seed0_easy	irregular_mrf	easy	4.0	0	expression_pca_kmeans	Expression-only control	100100	success	0.5605164580047131	383.078125			0.29233333333333333	0.009254599872580253	1.0	1.0	1.0	1.0	1.0	4.0
