gene	reference_detection_fraction	simulated_detection_fraction	moran_i_reference	moran_i_simulated	geary_c_reference	geary_c_simulated
TOP2A	0.45767716535433073	0.4559693699965193	0.08379879579448038	0.04935148061665805	0.9101896459837212	0.9525267416700046
TPD52	0.781003937007874	0.7706230421162548	0.15645653466043405	0.0948332657349866	0.8374727860432333	0.8969378821269378
TRAC	0.12598425196850394	0.15663069961712495	0.10772861159554448	0.08214835140578636	0.8733349082373517	0.9018486267624927
TRAF4	0.6122047244094488	0.5767490428123913	0.10371828463749748	0.08132927276265611	0.8960349182872845	0.9183322116024767
TRAPPC3	0.5132874015748031	0.5043508527671423	0.03479346163325218	-0.0003724896594935519	0.9641204358290023	0.9993038629406131
TRIB1	0.34301181102362205	0.32788026453184826	0.07388464057461662	0.010951591730819134	0.9244005415690565	0.992950287090202
TUBA4A	0.5009842519685039	0.5134006265227985	0.053888922508278266	0.017960755685882082	0.9411525603338694	0.9808388903947648
TUBB2B	0.16830708661417323	0.1583710407239819	0.021219604142203852	0.005284663841533113	0.970234193551591	0.9983402778700264
USP53	0.5959645669291339	0.5624782457361643	0.08516132442715645	0.0782533692265215	0.9095852063185847	0.9240680841781289
VOPP1	0.6751968503937008	0.6501914375217542	0.04425908535852363	0.008478771064021166	0.9526152685036335	0.990111722954039
VWF	0.1904527559055118	0.2109293421510616	0.16678107657504906	0.17641656518814125	0.8196496433302319	0.7901974607208055
WARS	0.483759842519685	0.48207448659937346	0.01593170261911026	0.014300882340317872	0.9791048864355528	0.9849947588429037
ZEB1	0.17421259842519685	0.1837800208840933	0.10877446633333995	0.11130501011518336	0.8665278787560912	0.8571314419970774
ZEB2	0.30265748031496065	0.3073442394709363	0.2050626443220514	0.16791762072816951	0.7670266511298802	0.8101101851196726
ZNF562	0.5826771653543307	0.5534284719805082	0.0755530568587214	0.045838741024393295	0.9206993333011263	0.9601274338509398
