genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
IL2RG,0.31381285661429215,4,37,18.96868089946656,2.1736464596222573,-3177.352302168367,-1.9004253344223134,0.7373891431615393,SE,2032,1.763537856487076e-05,0.0004192615942615662,0.0028269290924072266,6385.171707571527,-3294.728100043457,117.37579787509003,0.0,0.0
IL3RA,0.3852239070881501,4,38,18.96868089946656,1.5864295928818353,-3368.6285715207114,-2.3844600891922263,1.1797062448670315,SE,2032,1.6714275140371003e-05,0.0003410620133287864,0.0024139881134033203,6767.724246276216,-3519.8783639706917,151.2497924499803,0.0,0.0
IL7R,0.2752618462182708,4,44,18.96868089946656,2.6172919569385726,-3192.3202782111266,-8.26076880296759,5.024582000360999,SE,2032,1.2619022772088455e-05,0.0003398604777621567,0.002791166305541992,6415.1076596570465,-3312.1062029056484,119.78592469452178,0.0,0.0
ITGAM,0.3446640458968056,4,47,18.96868089946656,1.8901012855671153,-3383.5207355343628,-8.393446506642317,5.701548172731664,SE,2032,1.235490745959612e-05,0.00027193519898069597,0.0030100345611572266,6797.508574303519,-3548.753371075806,165.23263554144341,0.0,0.0
ITGAX,0.19750477765076574,4,54,18.96868089946656,4.039074962769955,-2795.0184183441097,-7.473465576942072,3.60571816919642,SE,2032,1.6001233999483996e-05,0.0006336616850736014,0.003072023391723633,5620.503939923013,-2869.1263829099826,74.10796456587286,0.0,0.0
ITM2C,0.4374186301218721,4,55,18.96868089946656,1.27851295705433,-3519.0231212118897,-1.5075799561290206,1.227524999493334,SE,2032,1.0831724679163381e-05,0.00020799720516645256,0.0023539066314697266,7068.513345658573,-3743.123306650262,224.10018543837214,0.0,0.0
JUP,0.17353835392927097,4,57,18.96868089946656,4.734174849204343,-3723.0780099211215,-3.3032670430808566,1.057583227402107,SE,2032,1.923607748972042e-05,0.000904495224214892,0.0055468082427978516,7476.623123077036,-3778.7750225957643,55.69701267464279,8.459899447643693e-14,1.0986882399537264e-13
KARS,0.17918802276775353,4,58,18.96868089946656,4.553567422612679,-2408.334989798069,-1.3982279530194568,0.23477804789943024,SE,2032,1.9107695101323433e-05,0.0008602188903233901,0.0031838417053222656,4847.137082830931,-2468.2505105324117,59.91552073434286,9.880984919163893e-15,1.3474070344314401e-14
KDR,0.18584877975783667,4,64,18.96868089946656,4.354741978311419,-3440.5496152740616,-7.808365634170265,3.991505572060013,SE,2032,1.8136447580689962e-05,0.0007776108195052639,0.003238201141357422,6911.566333782916,-3500.35131604248,59.801700768418414,1.0436096431476471e-14,1.4055348729261243e-14
KLF5,0.19114970042906054,4,72,18.96868089946656,4.206409916653737,-3543.657765684869,-7.75722563977219,4.0269592434368455,SE,2032,1.6479608626131528e-05,0.0006808865748322019,0.0031588077545166016,7117.782634604531,-3607.072263469164,63.414497784295236,1.6653345369377348e-15,2.39043234967139e-15
KLRB1,0.6098082042205112,4,74,18.96868089946656,0.6360656378330741,-3086.796018261786,-7.798844182501506,6.0736211015630115,SE,2032,5.523742436718325e-06,0.00011187515807198249,0.0022301673889160156,6204.059139758365,-3524.833217231755,438.03719896996927,0.0,0.0
KRT15,0.558211182467811,4,75,18.96868089946656,0.7867436571409894,-1964.9745344108405,-4.4152813195846985,1.875474881430972,SE,2032,5.5361250192124355e-06,0.00010594913431231856,0.0025899410247802734,3960.4161720564744,-2410.757832088429,445.7832976775885,0.0,0.0
KRT7,0.48468016832900396,4,81,18.96868089946656,1.0569116131542398,-2963.927634953416,-7.510117903479868,5.048226269588236,SE,2032,9.427346105562314e-06,0.0001768426070988483,0.0018112659454345703,5958.322373141626,-3265.161422350561,301.2337873971451,0.0,0.0
KRT8,0.18935419368555778,4,82,18.96868089946656,4.255722250188758,-2630.49949498181,-2.292549990504246,0.47418705468587397,SE,2032,3.2806002587630784e-05,0.0013723144595031707,0.004534006118774414,5291.466093198414,-2671.1414201800094,40.64192519819926,1.8284129765788748e-10,2.056321998026851e-10
LAG3,0.4360427807781484,4,83,18.96868089946656,1.2856836572949875,-2739.5502272071144,-2.4612803013045386,0.9441053699295869,SE,2032,1.5683109207782834e-05,0.00030149294895747797,0.0023260116577148438,5509.567557649022,-2910.1565865024895,170.6063592953751,0.0,0.0
LARS,0.35322261190079834,4,84,18.96868089946656,1.8202179559959843,-3484.9480900315302,-2.357528636649636,1.1622959118058238,SE,2032,1.934081891855099e-05,0.0004179946322179405,0.002969980239868164,7000.363283297854,-3606.6246068996784,121.67651686814816,0.0,0.0
LDHB,0.26466430065088525,4,86,18.96868089946656,2.761896178735967,-2802.5815170737374,-2.2940712071700013,0.6244847423531285,SE,2032,2.2044117201440164e-05,0.0006184021923597959,0.002608776092529297,5635.630137382268,-2879.76527381626,77.18375674252275,0.0,0.0
LGALSL,0.5067014962605179,4,88,18.96868089946656,0.9677756151979084,-2960.0537155571337,-7.172467054269893,4.750116047089805,SE,2032,7.583640723931047e-06,0.00014208763340901407,0.0020608901977539062,5950.574534349061,-3296.484470461521,336.4307549043874,0.0,0.0
