genes,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
HAVCR2,2.011763681275643e-09,4,1,9.759595988617244,485165195.4097903,-11901.52058614396,-3.5392984877264237,3.166612683637464e-08,SE,6134,3.4609571285671185e-06,619181324043.9436,0.004575014114379883,23837.92758166662,-11901.520628074875,4.193091444903985e-05,0.9948334076884857,0.9949060564104039
HDC,0.03883103132553932,4,5,9.759595988617244,24.159470870199964,-10606.314237693288,-2.0558210220755173,0.10122303092874796,SE,6134,4.4214209670114215e-06,0.002488266007141372,0.032160043716430664,21247.514884765274,-10659.652611963102,53.33837426981336,2.807754029277021e-13,1.6694753687593096e-12
HMGA1,0.04454941497294181,4,12,9.759595988617244,20.9330652846885,-10473.332607781498,-2.217939844306595,0.1139290376491765,SE,6134,5.889966178914536e-06,0.002576582453016013,0.025300025939941406,20981.551624941694,-10526.893431566987,53.56082378548854,2.5068835896036035e-13,1.5319844158688688e-12
HOOK2,2.011763681275643e-09,4,13,9.759595988617244,485165195.4097903,-10872.955127219166,-1.7075160100238878,1.0322938303188766e-08,SE,6134,6.081794215056081e-09,1088061265.9308734,0.03861594200134277,21780.79666381703,-10968.640639115698,95.68551189653226,0.0,0.0
HOXD8,2.0117636812756427e-09,4,15,9.759595988617244,485165195.4097903,-7991.528025065782,-1.8561690325393745,8.735433666145667e-09,SE,6134,5.884717015512755e-06,1052803238506.9312,0.004107952117919922,16017.94245951026,-7991.528066723939,4.165815789747285e-05,0.9948502389630436,0.9949060564104039
HOXD9,0.02283880018478538,4,17,9.759595988617244,41.75990784529044,-10849.56513570877,-5.863449645855592,0.2354055463860982,SE,6134,3.179305628284267e-06,0.004848778604482227,0.02175307273864746,21734.016680796238,-10876.653466201198,27.088330492428213,1.9436771692138421e-07,7.00998323323025e-07
HPX,0.06510602270305532,4,18,9.759595988617244,14.015474292052174,-8590.66955696858,-1.5271223013454915,0.08220354220337668,SE,6134,6.104902240093035e-06,0.0013561026677742058,0.011348962783813477,17216.225523315858,-8706.04171027128,115.3721533027001,0.0,0.0
IGF1,0.03780707227326768,4,20,9.759595988617244,24.840235870195198,-9509.58536797891,-2.048265090556883,0.0768263926056057,SE,6134,4.966759559008489e-06,0.0029365494967980225,0.02529430389404297,19054.05714533652,-9557.240450381678,47.65508240276722,5.082045895221654e-12,2.726951455972595e-11
IGSF6,0.057881812726757666,4,23,9.759595988617244,15.88655996726085,-11858.062971890733,-0.8149799077099334,0.17566972852197943,SE,6134,6.570330435120881e-06,0.0017949332228852706,0.04228496551513672,23751.012353160164,-11948.851664119316,90.78869222858339,0.0,0.0
IL2RG,0.08854008921537061,4,24,9.759595988617244,10.047643530199338,-7678.165920001141,-2.3229799932377753,0.10570652320564457,SE,6134,7.505117956500971e-06,0.0009870963811165197,0.007146120071411133,15391.218249380978,-7839.896256740979,161.7303367398381,0.0,0.0
IL3RA,0.0856808587026702,4,26,9.759595988617244,10.415511526323689,-11405.319484377265,-0.737424466578599,0.22757866314294678,SE,6134,7.995083152176626e-06,0.0011106223501077329,0.007598876953125,22845.52537813323,-11555.68719767643,150.3677132991652,0.0,0.0
IL7R,0.0360866717797005,4,31,9.759595988617244,26.071004118937257,-10041.181782366759,-2.1694662987501316,0.08655892491510359,SE,6134,5.3713550445863195e-06,0.0034617972316702047,0.023375749588012695,20117.249974112216,-10083.54191404779,42.36013168103091,7.592204642747902e-11,3.631054394357692e-10
ITGAM,0.060664169938827464,4,32,9.759595988617244,15.113158298023663,-9179.89538859452,-1.792710052547732,0.09619905293699041,SE,6134,7.658500720261624e-06,0.0019256405406578483,0.03979802131652832,18394.677186567736,-9265.30212749718,85.40673890266044,0.0,0.0
