Gene,C,Z,Pval,FDR
TIFA,-0.0006101160651018571,-0.24446799,0.5965658043383602,0.7381237918084795
HOXD9,-0.0005172747701290112,-0.26136792,0.6030956020895476,0.7420108812225333
DST,-0.0009541754314197949,-0.32940778,0.6290762564873671,0.7662909050951136
PPARG,-0.0008679579339369884,-0.33820927,0.6323972552362431,0.7662909050951136
SLC25A37,-0.000931501051166939,-0.3481929,0.6361523403831054,0.7662909050951136
HDC,-0.001011132391112672,-0.34998822,0.6368262316315555,0.7662909050951136
DNTTIP1,-0.0010341442229110935,-0.39379758,0.6531347530641265,0.7816202782570694
SOX17,-0.0008727945864579954,-0.490476,0.6881014499517009,0.8189903127142527
RHOH,-0.0015829459108180747,-0.537274,0.7044608199446101,0.8234793419692688
SMAP2,-0.0014242343236418847,-0.5422926,0.7061915219518531,0.8234793419692688
MDM2,-0.0015751482848627158,-0.5442017,0.7068486493322931,0.8234793419692688
CLEC14A,-0.0011357449846023352,-0.544391,0.7069137730147147,0.8234793419692688
SNAI1,-0.001086613295289124,-0.5565678,0.7110886164125273,0.8239598253668967
KRT15,-0.001981636184987991,-0.75650716,0.7753274088883491,0.8915046419548794
THAP2,-0.0020350017327856983,-0.7638521,0.777522313303114,0.8915046419548794
SMS,-0.0027259955405392142,-0.9313371,0.8241603963936681,0.9365842389302462
HOXD8,-0.002323566340033174,-0.9361095,0.8253915895595321,0.9365842389302462
